"Lang","List","ID","LHN_RT","LHY_RT","LVN_RT","LVY_RT","SHN_RT","SHY_RT","SVN_RT","SVY_RT","LHN_ACC","LHY_ACC","LVN_ACC","LVY_ACC","SHN_ACC","SHY_ACC","SVN_ACC","SVY_ACC"
"C","C_List01.csv","46",919.5,601,724,746,750,665,941,590,100,87.5,100,87.5,100,87.5,87.5,75
"E","SP_List4","4627165",816.699951171875,751.532470703125,842.2548828125,782.5048828125,905.992553710938,687.210083007812,656.222534179688,709.97998046875,87.5,100,87.5,87.5,100,100,100,87.5
"E","SP_List1","4636165",728,663.5,676.5,743,701,736.5,615,637.0048828125,100,100,100,87.5,87.5,100,87.5,100
"E","SP_List1","4641157",749.455078125,661.24755859375,682.195068359375,616.612548828125,647.135009765625,628.3798828125,496.429931640625,632.994995117188,87.5,100,87.5,100,100,100,100,100
"C","C_List02.csv","47",749,744,635.5,838,674,542,644,731,87.5,100,100,100,100,87.5,87.5,100
"C","C_List02.csv","48",754.5,725.5,831.5,747,713.5,683,650.5,861,100,100,100,100,100,100,100,100
"E","SP_List3","4850431",992.5,1189.5,1028.50244140625,970,1063,882.50244140625,897.5,916.50244140625,100,100,75,87.5,100,100,100,100
"C","C_List03.csv","49",672,657.5,600,861,595.5,664.5,617.5,612.5,100,100,75,87.5,75,100,100,100
"E","SP_List2","4904002",603.594970703125,630.192504882812,689.7900390625,621.62255859375,623.650024414062,579.212524414062,664.294921875,532.869995117188,87.5,100,87.5,100,100,100,100,100
"E","SP_List3","4950273",645.402465820312,735.909912109375,1133.5,763.81005859375,738.799926757812,652.582397460938,577.054931640625,809.905029296875,100,75,100,87.5,100,100,100,87.5
"C","C_List04.csv","5",434,561,552.5,523.5,500,545,500.5,435.5,100,100,100,100,87.5,100,100,100
"D","D_List02.csv","5",847.5,874.5,914,991.5,854,869.5,852,914,100,100,100,100,87.5,100,87.5,100
"C","C_List04.csv","50",628,630.5,722.5,572.5,568,644,581,698,100,100,100,100,87.5,87.5,100,100
"E","SP_List3","5076223",682.469970703125,653.7451171875,656.375,646.080078125,589.14501953125,569.4150390625,564.349853515625,573.510009765625,100,87.5,87.5,87.5,87.5,100,100,100
"C","C_List01.csv","51",617,599.5,711,561,592.5,746,557,632,100,100,87.5,87.5,100,87.5,100,87.5
"C","C_List01.csv","52",554,616,600,647,537,768,517.5,542,100,87.5,100,87.5,100,87.5,100,100
"E","SP_List1","5211472",616.992431640625,591.22998046875,696.239990234375,593.425048828125,632.449951171875,606.032470703125,527.025024414062,511.237548828125,100,75,100,87.5,87.5,100,100,100
"E","SP_List4","5270004",559.589965820312,638.054931640625,646.93505859375,652.945068359375,591.502563476562,524.642578125,572.699829101562,645.039916992188,75,87.5,75,87.5,75,100,75,100
"E","SP_List2","5282778",794,722.5,679,744.99755859375,1042,766.50244140625,810.9951171875,739.00244140625,87.5,75,62.5,100,62.5,100,75,100
"E","SP_List1","5292241",622.87744140625,537.682373046875,683.494995117188,590.33251953125,563.287475585938,599.93505859375,584.052368164062,590.85498046875,100,100,100,100,100,87.5,100,100
"C","C_List02.csv","53",721.5,721.5,703.5,581.5,658.5,587,592,517.5,50,100,75,100,75,87.5,100,100
"E","SP_List1","5380082",956.297607421875,780.074462890625,757.855590820312,853.672485351562,706.3623046875,861.197021484375,675.634765625,939.647216796875,100,100,100,75,87.5,100,87.5,87.5
"E","SP_List3","538327",667.954345703125,861.69189453125,776.8251953125,703.674194335938,657.603759765625,687.306030273438,733.864990234375,685.40869140625,87.5,100,87.5,100,100,100,100,100
"E","SP_List2","5549020",680.277465820312,645.599975585938,941.784912109375,672.169921875,668.232666015625,751.6650390625,555.237548828125,701.89501953125,100,100,100,87.5,100,100,100,87.5
"E","SP_List4","5557920",714.392578125,883.592529296875,688.53515625,713.302490234375,626.552612304688,690.534912109375,608.3798828125,744.0224609375,100,100,100,100,100,87.5,100,100
"E","SP_List4","5656906",627.114990234375,865.712524414062,758.85498046875,596.5224609375,530.059936523438,614.920166015625,700.105102539062,710.677612304688,100,100,87.5,75,100,87.5,100,100
"E","SP_List3","5659376",565.072631835938,495.215087890625,534.845092773438,579.855102539062,602.14013671875,613.409912109375,552.715209960938,595.32763671875,100,87.5,100,100,87.5,87.5,100,100
"E","SP_List3","5661038",726.9599609375,654.414916992188,805.239990234375,663.537475585938,716.7900390625,586.809936523438,667.375,781.445068359375,87.5,100,87.5,100,87.5,100,87.5,87.5
"E","SP_List3","5684590",922.324951171875,1235.88488769531,1052.55004882812,846.60498046875,684.0849609375,938.824951171875,905.340087890625,704.922485351562,75,75,100,87.5,87.5,100,87.5,100
"E","SP_List4","5756652",620.002319335938,755.007446289062,673.872314453125,647.875,632.215087890625,625.525024414062,638.775024414062,686.639892578125,100,100,100,62.5,100,100,100,87.5
"E","SP_List4","5757626",516.340087890625,517.032470703125,544.089965820312,559.180053710938,611.929931640625,466.070068359375,552.5,479.85009765625,87.5,100,100,100,100,100,87.5,87.5
"E","SP_List2","5806513",744.775146484375,669.559814453125,666.77001953125,655.944946289062,685.880004882812,694.822509765625,703.382446289062,695.97998046875,87.5,87.5,87.5,100,100,100,100,100
"E","SP_List4","5847602",659.39990234375,653.574951171875,720.457641601562,694.800048828125,534.607543945312,597.114990234375,619.637451171875,519.152587890625,100,87.5,100,87.5,100,87.5,100,100
"E","SP_List2","5879769",861.83251953125,789.552490234375,808.257446289062,815.72998046875,731.8798828125,701.010009765625,738.032470703125,825.75,100,100,75,100,100,100,100,87.5
"C","C_List01.csv","6",747.5,745,764,790,680,577,610,570,75,87.5,100,100,87.5,100,75,87.5
"D","D_List03.csv","6",582,577,657.5,635,540,472,579,625.5,87.5,100,100,100,87.5,87.5,87.5,100
"E","SP_List4","6034619",622.405395507812,669.07080078125,640.562255859375,589.931640625,506.760009765625,524.265380859375,576.982421875,571.584350585938,100,87.5,87.5,100,75,87.5,87.5,100
"E","SP_List3","6275750",841,623.0048828125,642.0048828125,603,552.00244140625,582.00244140625,468.99755859375,525.99755859375,87.5,87.5,87.5,87.5,100,100,100,100
"E","SP_List1","6330457",508.055053710938,449.170043945312,504.194946289062,478.565063476562,452.822631835938,427.824951171875,523.739990234375,425.3701171875,100,100,100,100,100,87.5,87.5,87.5
"E","SP_List4","6366544",783.517578125,789.682495117188,883.880126953125,765.739990234375,859.52978515625,819.650146484375,899.594970703125,947.1650390625,100,100,87.5,87.5,87.5,87.5,87.5,87.5
"E","SP_List1","6393370",623.00244140625,863,789.5,587,745,650.5,798,676,100,87.5,100,100,100,100,87.5,87.5
"E","SP_List2","6539081",672.693115234375,561.68310546875,619.845947265625,644.182373046875,644.2822265625,564.820068359375,490.873657226562,629.644775390625,100,100,100,100,87.5,100,100,100
"E","SP_List3","6547204",915.28515625,747.45751953125,680.35986328125,703.6650390625,670.220092773438,728.33251953125,841.175048828125,706.440063476562,87.5,100,87.5,87.5,100,100,100,100
"E","SP_List1","6570561",781.50244140625,837.49755859375,806,755.5048828125,683.99755859375,885,1059.00244140625,782.99755859375,75,100,87.5,100,100,100,100,100
"E","SP_List1","6580749",820.582397460938,830.175048828125,930.494995117188,917.294921875,808.767456054688,571.360107421875,639.502563476562,817.227416992188,100,100,100,87.5,100,87.5,100,100
"E","SP_List2","6590967",538.827514648438,523.472534179688,655.5400390625,557.360107421875,538.869873046875,483.724853515625,584.549926757812,632.197509765625,75,100,87.5,100,100,87.5,100,100
"E","SP_List1","6627597",637,653,694,757,591,660.5,753.5,632.99755859375,87.5,87.5,75,87.5,100,100,75,100
"E","SP_List3","6654387",701.0048828125,676,628.5,737.00244140625,614.00244140625,597.49755859375,607.9951171875,622,87.5,87.5,75,75,100,100,87.5,75
"E","SP_List3","670453",571.882446289062,537.315063476562,532.357543945312,525.144775390625,500.589965820312,478.130004882812,446.744873046875,527.724853515625,100,100,100,87.5,100,100,100,100
"E","SP_List2","6807972",545.5,579,552.5,602,564,528.5,566,481.49755859375,100,87.5,100,100,100,100,100,100
"E","SP_List4","6906579",580.172485351562,668.515014648438,488.18994140625,643.217529296875,544.160034179688,572.2451171875,518.485107421875,764.7275390625,75,100,100,100,75,87.5,75,75
"E","SP_List1","6960615",726.605102539062,594.175048828125,645.654907226562,533.83984375,558.06005859375,610.182495117188,595.715087890625,532.650024414062,100,87.5,100,87.5,87.5,100,100,100
"C","C_List02.csv","7",659,735.5,652,632,637.5,734,596,750,100,100,87.5,87.5,100,87.5,87.5,100
"D","D_List04.csv","7",665.5,835,989,702,656,679.5,746,627,100,100,100,87.5,87.5,100,87.5,100
"E","SP_List3","7039984",529.684448242188,605.221557617188,684.403076171875,620.364501953125,611.698974609375,534.049072265625,587.682495117188,499.933959960938,100,100,100,100,100,87.5,100,100
"E","SP_List1","7056067",747.534912109375,887.714965820312,821.985107421875,756.89990234375,762.317504882812,779.8125,673.764892578125,734.402465820312,87.5,100,87.5,100,100,100,100,100
"E","SP_List4","7084523",471.85498046875,468.192504882812,511.6201171875,543.337524414062,477.445068359375,465.7998046875,486.799926757812,467.464965820312,100,100,100,100,100,87.5,100,100
"E","SP_List4","7245640",551.861938476562,763.188232421875,651.368774414062,720.855224609375,624.6318359375,520.347778320312,562.96044921875,630.525268554688,75,100,100,87.5,87.5,100,87.5,100
"E","SP_List4","7311671",773.705078125,918.574951171875,955.91748046875,960.89013671875,814.670166015625,950.742553710938,775.117431640625,1068.357421875,87.5,87.5,100,75,87.5,100,100,75
"E","SP_List3","7366707",659.482543945312,766.78759765625,673.200073242188,687.10498046875,599.572509765625,601.200073242188,630.845092773438,650.519897460938,100,100,100,100,100,100,100,100
"E","SP_List3","7443356",666.93505859375,569.02001953125,713.300170898438,563.929931640625,530.21484375,562.172485351562,556.282470703125,630.405029296875,87.5,62.5,100,87.5,87.5,100,100,75
"E","SP_List4","7483916",616.49755859375,574.50244140625,593.49755859375,618.5,483,562.00244140625,535.00244140625,547,100,100,100,75,87.5,100,100,100
"E","SP_List1","7560170",899.684936523438,662.960083007812,804.705078125,683.639892578125,642.087524414062,742.79248046875,807.492553710938,595.275146484375,100,100,87.5,87.5,100,100,100,87.5
"E","SP_List1","7733744",521.0673828125,588.5,544.02001953125,534.812377929688,517.514892578125,531.967407226562,608.96240234375,567.525146484375,100,100,100,100,87.5,100,100,87.5
"E","SP_List2","778602",633.4150390625,617.027587890625,808.97509765625,632.779907226562,571.944946289062,504.18505859375,630.409912109375,660.239990234375,87.5,75,87.5,100,100,87.5,100,87.5
"E","SP_List4","779337",698.177490234375,806.125122070312,758.012451171875,830.525146484375,640.220092773438,691.537475585938,754.9775390625,620.775146484375,100,100,100,87.5,100,100,100,87.5
"E","SP_List3","7824252",807.159912109375,709.222534179688,668.0048828125,609.19482421875,668.802490234375,683.98486328125,632.675048828125,731.660034179688,75,100,87.5,87.5,100,87.5,87.5,100
"E","SP_List2","7892798",652.634887695312,631.699951171875,635.757446289062,716.780029296875,609.854858398438,504.6650390625,602.737426757812,647.694946289062,75,100,100,87.5,100,87.5,75,100
"E","SP_List2","7957756",577.00244140625,797.99755859375,698,616,538,632,537.5,586.0048828125,100,50,87.5,75,87.5,87.5,100,87.5
"C","C_List02.csv","8",560.5,513.5,566,588.5,491,511,510.5,617,100,100,87.5,100,100,100,100,100
"D","D_List04.csv","8",529,580,719,696,607.5,470,577,666,100,100,75,87.5,100,87.5,87.5,87.5
"E","SP_List4","8037171",882.900146484375,863.02490234375,860.79248046875,792.515014648438,536.702392578125,751.762451171875,926.550048828125,815.56494140625,87.5,87.5,100,100,100,100,62.5,62.5
"E","SP_List3","8137192",701.859985351562,696.359985351562,754.970092773438,700.375,630.177490234375,649.47021484375,606.277587890625,639.905029296875,100,100,100,87.5,100,100,100,100
"E","SP_List4","8224252",622.005004882812,805.030029296875,672.364868164062,623.33740234375,703.64501953125,648.792602539062,621.949951171875,652.43994140625,100,100,100,100,100,100,100,100
"E","SP_List2","8267729",625.742553710938,694.6875,614.135009765625,687.507568359375,665.712646484375,646.022583007812,622.154907226562,646.897583007812,100,100,87.5,100,100,100,100,100
"E","SP_List1","8308999",679.0224609375,589.462646484375,770.815063476562,693.842529296875,712.49755859375,601.737426757812,601.22998046875,594.344970703125,100,100,100,100,100,100,87.5,100
"E","SP_List4","8365526",512.764892578125,609.934936523438,612.802368164062,644.669921875,684.789794921875,589.907470703125,523.320068359375,475.107543945312,100,100,100,100,87.5,100,100,100
"E","SP_List2","8413180",659.00244140625,758,758,576.5,577.5,588.99755859375,602,637.00244140625,100,87.5,100,100,100,100,87.5,100
"E","SP_List2","8565024",668,689.5,708,642,676,526.99755859375,711.0048828125,537,87.5,100,87.5,87.5,100,100,87.5,100
"E","SP_List3","8921175",731.9599609375,855.302612304688,906.08740234375,651.884887695312,716.4775390625,723.450073242188,715.142578125,635.7900390625,75,100,75,100,75,75,75,62.5
"C","C_List03.csv","9",609,560,616.5,787,622.5,581.5,574,593.5,100,87.5,100,100,100,100,100,100
"D","D_List01.csv","9",735,618.5,660,742,620.5,646.5,826,587,100,100,100,87.5,100,100,100,87.5
"E","SP_List4","9097430",566.097534179688,601.920043945312,620.970092773438,740.009887695312,589.844970703125,577.699951171875,547.5498046875,574.192504882812,100,100,100,100,87.5,87.5,87.5,100
"E","SP_List2","9132668",618.095092773438,642.5751953125,680.43994140625,651.572387695312,613.967529296875,566.522583007812,525.125,556.705078125,100,87.5,87.5,100,75,100,100,100
"E","SP_List3","9191049",684.857543945312,768.654907226562,533.764892578125,568.737548828125,524.187622070312,654.760131835938,593.697509765625,667.820068359375,100,100,87.5,100,100,100,100,100
"E","SP_List3","9200724",559.152465820312,489.107543945312,621.35498046875,484.60498046875,464.732421875,421.557495117188,502.135009765625,428.545166015625,100,100,87.5,87.5,100,75,87.5,87.5
"E","SP_List2","9567626",788.5,644.50244140625,659.00244140625,703.5,670,618,640.5,645,100,100,100,100,87.5,87.5,100,100
"E","SP_List4","9588010",616.18017578125,601.800048828125,612.6650390625,580.135009765625,537.5625,500.390014648438,568.87255859375,504.650146484375,100,100,87.5,100,100,100,100,87.5
"E","SP_List4","9648548",689.49755859375,660.0048828125,615.00244140625,659.00244140625,647.9951171875,648,598,670.00244140625,100,87.5,100,100,87.5,62.5,87.5,75
"E","SP_List1","969922",592.809692382812,534.092651367188,632.554931640625,499.14013671875,468.905029296875,523.850341796875,532.04541015625,481.94482421875,100,100,100,87.5,87.5,100,87.5,87.5
"E","SP_List2","9917421",803.557495117188,714.702514648438,923.7900390625,728.232421875,783.902587890625,612.402587890625,628.880126953125,646.014892578125,100,100,87.5,100,100,100,87.5,87.5
