"","List","Lang","Gender","Age","ID","Size","Match","RT","ACC"
"1","D_List01.csv","NL","f","17","31","L","N",710,100
"2","D_List01.csv","NL","f","17","31","L","Y",637,87.5
"3","D_List01.csv","NL","f","17","31","S","N",561,100
"4","D_List01.csv","NL","f","17","31","S","Y",676,100
"5","D_List01.csv","NL","f","18","12","L","N",555.5,100
"6","D_List01.csv","NL","f","18","12","L","Y",513,93.75
"7","D_List01.csv","NL","f","18","12","S","N",508,93.75
"8","D_List01.csv","NL","f","18","12","S","Y",479,100
"9","D_List01.csv","NL","f","18","37","L","N",655,93.75
"10","D_List01.csv","NL","f","18","37","L","Y",726,100
"11","D_List01.csv","NL","f","18","37","S","N",649,93.75
"12","D_List01.csv","NL","f","18","37","S","Y",537,81.25
"13","D_List01.csv","NL","f","19","06","L","N",867,100
"14","D_List01.csv","NL","f","19","06","L","Y",760,93.75
"15","D_List01.csv","NL","f","19","06","S","N",647,93.75
"16","D_List01.csv","NL","f","19","06","S","Y",691,93.75
"17","D_List01.csv","NL","f","19","32","L","N",805.5,100
"18","D_List01.csv","NL","f","19","32","L","Y",819.5,100
"19","D_List01.csv","NL","f","19","32","S","N",801.5,100
"20","D_List01.csv","NL","f","19","32","S","Y",725,93.75
"21","D_List01.csv","NL","f","21","11","L","N",613.5,100
"22","D_List01.csv","NL","f","21","11","L","Y",705,93.75
"23","D_List01.csv","NL","f","21","11","S","N",544,81.25
"24","D_List01.csv","NL","f","21","11","S","Y",629,87.5
"25","D_List01.csv","NL","f","22","26","L","N",619.5,100
"26","D_List01.csv","NL","f","22","26","L","Y",595,100
"27","D_List01.csv","NL","f","22","26","S","N",551.5,100
"28","D_List01.csv","NL","f","22","26","S","Y",592,81.25
"29","D_List01.csv","NL","F","33","01","L","N",733.5,100
"30","D_List01.csv","NL","F","33","01","L","Y",483,93.75
"31","D_List01.csv","NL","F","33","01","S","N",524,93.75
"32","D_List01.csv","NL","F","33","01","S","Y",650.5,87.5
"33","D_List01.csv","NL","m","23","21","L","N",732.5,100
"34","D_List01.csv","NL","m","23","21","L","Y",723.5,100
"35","D_List01.csv","NL","m","23","21","S","N",676,93.75
"36","D_List01.csv","NL","m","23","21","S","Y",684,93.75
"37","D_List02.csv","NL","F","18","02","L","N",545.5,100
"38","D_List02.csv","NL","F","18","02","L","Y",558.5,100
"39","D_List02.csv","NL","F","18","02","S","N",486,93.75
"40","D_List02.csv","NL","F","18","02","S","Y",519.5,100
"41","D_List02.csv","NL","F","18","13","L","N",767,87.5
"42","D_List02.csv","NL","F","18","13","L","Y",713.5,87.5
"43","D_List02.csv","NL","F","18","13","S","N",785.5,100
"44","D_List02.csv","NL","F","18","13","S","Y",740,81.25
"45","D_List02.csv","NL","f","18","17","L","N",498.5,87.5
"46","D_List02.csv","NL","f","18","17","L","Y",554,93.75
"47","D_List02.csv","NL","f","18","17","S","N",512,81.25
"48","D_List02.csv","NL","f","18","17","S","Y",516.5,100
"49","D_List02.csv","NL","f","19","22","L","N",923,87.5
"50","D_List02.csv","NL","f","19","22","L","Y",796.5,100
"51","D_List02.csv","NL","f","19","22","S","N",819.5,87.5
"52","D_List02.csv","NL","f","19","22","S","Y",792,87.5
"53","D_List02.csv","NL","f","19","28","L","N",489,93.75
"54","D_List02.csv","NL","f","19","28","L","Y",518,93.75
"55","D_List02.csv","NL","f","19","28","S","N",487,93.75
"56","D_List02.csv","NL","f","19","28","S","Y",450,93.75
"57","D_List02.csv","NL","f","19","33","L","N",723,87.5
"58","D_List02.csv","NL","f","19","33","L","Y",793,100
"59","D_List02.csv","NL","f","19","33","S","N",800,81.25
"60","D_List02.csv","NL","f","19","33","S","Y",645.5,100
"61","D_List02.csv","NL","f","20","07","L","N",653,81.25
"62","D_List02.csv","NL","f","20","07","L","Y",609.5,100
"63","D_List02.csv","NL","f","20","07","S","N",637.5,87.5
"64","D_List02.csv","NL","f","20","07","S","Y",587,93.75
"65","D_List02.csv","NL","f","20","38","L","N",598,100
"66","D_List02.csv","NL","f","20","38","L","Y",611,93.75
"67","D_List02.csv","NL","f","20","38","S","N",602,81.25
"68","D_List02.csv","NL","f","20","38","S","Y",533,93.75
"69","D_List02.csv","NL","f","22","27","L","N",795,93.75
"70","D_List02.csv","NL","f","22","27","L","Y",681,93.75
"71","D_List02.csv","NL","f","22","27","S","N",636,93.75
"72","D_List02.csv","NL","f","22","27","S","Y",638,100
"73","D_List02.csv","NL","m","21","08","L","N",743.5,100
"74","D_List02.csv","NL","m","21","08","L","Y",587.5,100
"75","D_List02.csv","NL","m","21","08","S","N",570,100
"76","D_List02.csv","NL","m","21","08","S","Y",683.5,100
"77","D_List03.csv","NL","f","18","29","L","N",895,93.75
"78","D_List03.csv","NL","f","18","29","L","Y",989.5,100
"79","D_List03.csv","NL","f","18","29","S","N",720,93.75
"80","D_List03.csv","NL","f","18","29","S","Y",792,93.75
"81","D_List03.csv","NL","f","18","40","L","N",646,100
"82","D_List03.csv","NL","f","18","40","L","Y",539,100
"83","D_List03.csv","NL","f","18","40","S","N",531,100
"84","D_List03.csv","NL","f","18","40","S","Y",494,87.5
"85","D_List03.csv","NL","F","19","03","L","N",558,81.25
"86","D_List03.csv","NL","F","19","03","L","Y",453,93.75
"87","D_List03.csv","NL","F","19","03","S","N",446,100
"88","D_List03.csv","NL","F","19","03","S","Y",441.5,87.5
"89","D_List03.csv","NL","f","19","39","L","N",574,100
"90","D_List03.csv","NL","f","19","39","L","Y",565.5,87.5
"91","D_List03.csv","NL","f","19","39","S","N",530,100
"92","D_List03.csv","NL","f","19","39","S","Y",516,93.75
"93","D_List03.csv","NL","f","20","34","L","N",697,100
"94","D_List03.csv","NL","f","20","34","L","Y",626,100
"95","D_List03.csv","NL","f","20","34","S","N",720.5,100
"96","D_List03.csv","NL","f","20","34","S","Y",637,87.5
"97","D_List03.csv","NL","f","21","04","L","N",709,87.5
"98","D_List03.csv","NL","f","21","04","L","Y",673,81.25
"99","D_List03.csv","NL","f","21","04","S","N",607,93.75
"100","D_List03.csv","NL","f","21","04","S","Y",590.5,87.5
"101","D_List03.csv","NL","f","21","09","L","N",579.5,87.5
"102","D_List03.csv","NL","f","21","09","L","Y",530.5,75
"103","D_List03.csv","NL","f","21","09","S","N",581.5,100
"104","D_List03.csv","NL","f","21","09","S","Y",485,93.75
"105","D_List03.csv","NL","f","21","14","L","N",853,93.75
"106","D_List03.csv","NL","f","21","14","L","Y",970,93.75
"107","D_List03.csv","NL","f","21","14","S","N",954.5,100
"108","D_List03.csv","NL","f","21","14","S","Y",889,81.25
"109","D_List03.csv","NL","f","21","23","L","N",718,87.5
"110","D_List03.csv","NL","f","21","23","L","Y",635,93.75
"111","D_List03.csv","NL","f","21","23","S","N",521,93.75
"112","D_List03.csv","NL","f","21","23","S","Y",522,93.75
"113","D_List03.csv","NL","f","37","18","L","N",676.5,87.5
"114","D_List03.csv","NL","f","37","18","L","Y",788,100
"115","D_List03.csv","NL","f","37","18","S","N",735,100
"116","D_List03.csv","NL","f","37","18","S","Y",553,93.75
"117","D_List03.csv","NL","m","24","24","L","N",675,100
"118","D_List03.csv","NL","m","24","24","L","Y",696.5,75
"119","D_List03.csv","NL","m","24","24","S","N",564,81.25
"120","D_List03.csv","NL","m","24","24","S","Y",637,93.75
"121","D_List04.csv","NL","f","18","15","L","N",592,93.75
"122","D_List04.csv","NL","f","18","15","L","Y",539.5,100
"123","D_List04.csv","NL","f","18","15","S","N",634,87.5
"124","D_List04.csv","NL","f","18","15","S","Y",569,100
"125","D_List04.csv","NL","f","18","19","L","N",652,100
"126","D_List04.csv","NL","f","18","19","L","Y",671,75
"127","D_List04.csv","NL","f","18","19","S","N",615,93.75
"128","D_List04.csv","NL","f","18","19","S","Y",641,93.75
"129","D_List04.csv","NL","f","19","05","L","N",624,100
"130","D_List04.csv","NL","f","19","05","L","Y",720.5,87.5
"131","D_List04.csv","NL","f","19","05","S","N",583,87.5
"132","D_List04.csv","NL","f","19","05","S","Y",592.5,100
"133","D_List04.csv","NL","f","19","16","L","N",600,93.75
"134","D_List04.csv","NL","f","19","16","L","Y",566,93.75
"135","D_List04.csv","NL","f","19","16","S","N",575,81.25
"136","D_List04.csv","NL","f","19","16","S","Y",594,100
"137","D_List04.csv","NL","f","19","20","L","N",500,100
"138","D_List04.csv","NL","f","19","20","L","Y",604,100
"139","D_List04.csv","NL","f","19","20","S","N",619,87.5
"140","D_List04.csv","NL","f","19","20","S","Y",523,93.75
"141","D_List04.csv","NL","f","19","30","L","N",645,75
"142","D_List04.csv","NL","f","19","30","L","Y",674,93.75
"143","D_List04.csv","NL","f","19","30","S","N",637.5,87.5
"144","D_List04.csv","NL","f","19","30","S","Y",707,87.5
"145","D_List04.csv","NL","f","19","36","L","N",712,93.75
"146","D_List04.csv","NL","f","19","36","L","Y",722,100
"147","D_List04.csv","NL","f","19","36","S","N",595,93.75
"148","D_List04.csv","NL","f","19","36","S","Y",596,93.75
"149","D_List04.csv","NL","f","20","10","L","N",595,93.75
"150","D_List04.csv","NL","f","20","10","L","Y",634,81.25
"151","D_List04.csv","NL","f","20","10","S","N",521,93.75
"152","D_List04.csv","NL","f","20","10","S","Y",596,93.75
"153","D_List04.csv","NL","f","21","35","L","N",569.5,100
"154","D_List04.csv","NL","f","21","35","L","Y",586.5,100
"155","D_List04.csv","NL","f","21","35","S","N",533,93.75
"156","D_List04.csv","NL","f","21","35","S","Y",581,100
"157","D_List04.csv","NL","f","29","25","L","N",835,93.75
"158","D_List04.csv","NL","f","29","25","L","Y",817,100
"159","D_List04.csv","NL","f","29","25","S","N",875,81.25
"160","D_List04.csv","NL","f","29","25","S","Y",957,93.75
