"","L H N","L H Y","L V N","L V Y","S H N","S H Y","S V N","S V Y"
"subj001",519.849975585938,632.335205078125,824.985107421875,535.929931640625,487.739990234375,572.192504882812,643.73486328125,524.22998046875
"subj002",555.897583007812,574.294921875,585.4150390625,581.27001953125,592,641.890014648438,633.1875,655.9951171875
"subj003",665.184936523438,601.91259765625,617.49755859375,626.56494140625,602.654907226562,584.672485351562,631.7451171875,387.68017578125
"subj004",631.865234375,678.6298828125,743.835083007812,650.922485351562,498.639892578125,602.16015625,560.77001953125,477.397583007812
"subj005",614.12255859375,571.37744140625,630.0400390625,611.059814453125,471.3701171875,875.18505859375,553.570068359375,533.339965820312
"subj006",677.375,547.550048828125,692.73486328125,650.760131835938,519.242553710938,714,523.3251953125,585.117553710938
"subj007",674.9951171875,617.835083007812,544.282592773438,547.492431640625,571.437622070312,576.31005859375,626.08984375,617.619995117188
"subj008",629.759765625,725.204833984375,685.119873046875,629.722534179688,508.592407226562,552,582.764892578125,627.724853515625
"subj009",509.150146484375,624.48486328125,553.944946289062,594.89013671875,594.807495117188,616.39501953125,574.837524414062,521.22998046875
"subj010",626.007568359375,637.965087890625,649.655151367188,588.81005859375,511.090087890625,658.655029296875,584.862548828125,536
"subj011",983.682373046875,900.85498046875,549.9951171875,582.577392578125,566.830078125,688.177490234375,527.800048828125,581.4501953125
"subj012",568.160034179688,630.804931640625,732.099853515625,566.0048828125,615.190063476562,519.782470703125,623,673.755004882812
"subj013",552.93994140625,621.43994140625,710.987548828125,500.614990234375,623.1298828125,511.1025390625,534.449951171875,581.68505859375
"subj014",596.074951171875,627.60009765625,562.135009765625,524.83984375,825.090087890625,614.349975585938,716.829956054688,570.835205078125
"subj015",568.4599609375,541,699.345092773438,601.210083007812,641.579833984375,483.179931640625,701.344970703125,468.950073242188
"subj016",591.954956054688,682.4150390625,550.067504882812,542.22509765625,548.912475585938,739.945068359375,584.222412109375,445.949951171875
"subj017",755.997436523438,550.5,605.375,801.550048828125,697.43994140625,572,578.387329101562,537.069946289062
"subj018",664.794921875,652.670166015625,597.320068359375,650.180053710938,604.45263671875,584.85498046875,649.045166015625,567.0849609375
"subj019",836.842529296875,630.652587890625,687.454956054688,590.420043945312,761.47509765625,551.335205078125,525.650146484375,621.02001953125
"subj020",685.982543945312,480.552490234375,660.215087890625,838.099853515625,669.739990234375,693.580078125,496.64013671875,612.489990234375
"subj021",657.704956054688,622.735107421875,698.77490234375,531.144897460938,558.090087890625,593,563.657470703125,627.094970703125
"subj022",577,752.747436523438,524,590.182495117188,684,666.08740234375,599.6201171875,701.880004882812
"subj023",618.217529296875,620,700.514892578125,608,618.089965820312,632.514892578125,501.835083007812,619.764892578125
"subj024",548.260009765625,693.735107421875,684.81494140625,597.71484375,645.0048828125,610,646.260009765625,601.845092773438
"subj025",621.0048828125,637.167602539062,674.670043945312,579,614.119995117188,536.889892578125,473.5,578.325073242188
"subj026",515.89990234375,598.947387695312,682.06005859375,573.9150390625,790.18505859375,558.507568359375,455.679931640625,543.029907226562
"subj027",616.200073242188,602.7001953125,541.050048828125,718.929931640625,685.530029296875,589.75,587,580.385009765625
"subj028",804.66748046875,552,515.784912109375,649.070068359375,627.300048828125,503.5,524.380004882812,560.78515625
"subj029",633.922485351562,521,638.0048828125,568.77490234375,644,546.2451171875,541.094970703125,607.467529296875
"subj030",750.912475585938,639.5625,496.847412109375,673.909912109375,532.64990234375,665,467.880004882812,555.787475585938
"subj031",548.00244140625,590.68505859375,627.510009765625,703.482421875,658.235107421875,501.182495117188,512.544921875,644
"subj032",644.885009765625,541.14013671875,822.007568359375,495.655029296875,619.0048828125,590.81494140625,587.199951171875,553.5625
"subj033",663.03515625,788.767456054688,460,561.635009765625,574.557495117188,495.72509765625,623.7001953125,542.219970703125
"subj034",561.449951171875,662.204833984375,597,523.44482421875,613.449951171875,491.140014648438,654.87744140625,581.812377929688
"subj035",680.444946289062,634.400146484375,796.599975585938,562.240112304688,553.390014648438,505.892333984375,635.329833984375,515.434814453125
"subj036",532.4599609375,643.6298828125,645.374877929688,534.690185546875,530.180053710938,570.690185546875,589.58251953125,567.72509765625
"subj037",542.465087890625,524.247436523438,632.9951171875,618.505004882812,540.905029296875,626,1221.15991210938,516.81005859375
"subj038",628.905151367188,576.514892578125,506.557495117188,613.699951171875,609.630004882812,499,806.18505859375,600.010131835938
"subj039",608.150146484375,511.387451171875,652.2900390625,733.33984375,597.922485351562,523.81494140625,639,697.892333984375
"subj040",676,665.927490234375,641.10009765625,817.65234375,592.0400390625,479.39013671875,445.744873046875,566.460083007812
"subj041",520.85498046875,691,667,694.675048828125,633.4775390625,690.52001953125,490.74267578125,540.307373046875
"subj042",678.644897460938,574.277465820312,540.682495117188,676,599.02001953125,641.6875,600.162353515625,525.010009765625
"subj043",608.5048828125,536.18994140625,618.70263671875,601.607543945312,606.60009765625,608.474853515625,686.330078125,603.60009765625
"subj044",548.387329101562,537,727.14501953125,781.244873046875,599.619995117188,712.47998046875,597.39501953125,657
"subj045",595,561.987548828125,687.530029296875,638.02490234375,490.580078125,672.460205078125,763.932495117188,647.3349609375
"subj046",663.519897460938,602.094970703125,535.994873046875,577.112426757812,608.5048828125,676.382446289062,620.827514648438,515.949951171875
"subj047",670.0048828125,489.2099609375,621.675048828125,513.107543945312,549.294921875,849.469970703125,583.910034179688,660.315185546875
"subj048",525.95751953125,565.52001953125,585.690063476562,613.130126953125,459,600.300048828125,566.89990234375,659.607543945312
"subj049",546.045166015625,542.322509765625,922.6298828125,683.394775390625,559.0224609375,526.474975585938,583.994995117188,497.262451171875
"subj050",609.43994140625,566.664794921875,706.544921875,615.480102539062,537.445068359375,641.547485351562,642,627.204956054688
"subj051",717,501.81005859375,616.43017578125,681.72998046875,563.719970703125,621.03515625,672.500122070312,629.52490234375
"subj052",676.005126953125,574.64013671875,947.787475585938,654.7548828125,609.242431640625,604.680053710938,575.087524414062,588.437377929688
"subj053",578.92236328125,569.722534179688,677.195068359375,588.452514648438,721.682495117188,765.804931640625,578.019775390625,557.0048828125
"subj056",616.8701171875,542.08251953125,599.317504882812,576,526.114868164062,567.449951171875,593.9951171875,675.2548828125
"subj057",595.02001953125,554.532470703125,530.699951171875,574.7724609375,620.844970703125,537.637451171875,507.8125,541.72021484375
